Term,Pile
expressive,expressive
rubato,expressive
differentiated,expressive
colorful,expressive
complex,expressive
weightless,weightless
serene,weightless
soaring,weightless
dancing,weightless
airy,weightless
light,weightless
flowing,weightless
breathing,weightless
floating,weightless
peaceful,weightless
oscillating,weightless
uneven,uneven
abrupt,uneven
idiosyncratic,uneven
unpredictable,uneven
unrhythmic,uneven
stuttering,uneven
chopped,uneven
bumpy,uneven
jumpy,uneven
intense,intense
frenetic,intense
tragic,intense
dramatic,intense
emphatic,intense
vast,intense
emotional,emotional
nostalgic,emotional
romantic,emotional
kitschy,emotional
impetuous,emotional
energetic,emotional
lively,emotional
mesmerizing,emotional
fantastic,emotional
mysterious,emotional
passionate,emotional
amateur,amateur
searching,amateur
careful,amateur
cold,cold
conservative,cold
holding_back,cold
restrained,cold
distant,cold
accentuated,accentuated
marcato,accentuated
staccato,accentuated
fake,Gould
inappropriate,Gould
bold,Gould
deliberate,Gould
determined,Gould
ironic,Gould
robotic,robotic
static,robotic
technical,robotic
mechanical,robotic
strict,robotic
uniform,robotic
controlled,robotic
bland,robotic
uninspired,robotic
marching,robotic
monotonous,robotic
etude-like,robotic
dull,robotic
boring,robotic
unchanging_dynamics,robotic
sterile,sterile
shallow,sterile
clean,sterile
dry,sterile
clear,sterile
cerebral,reflected
pensive,reflected
thoughtful,reflected
ponderous,reflected
story-telling,reflected
deep,reflected
professional,reflected
simple,simple
easy,simple
straightforward,simple
free,simple
round,round
melodious,round
full,round
warm,round
legato,round
cantabile,round
fast,fast
eager,fast
chaotic,fast
brisk,fast
rushed,fast
pushing_forward,fast
erratic,fast
hectic,fast
galloping,fast
hasty,fast
impatient,fast
happy,happy
authentic,happy
innocent,happy
playful,happy
joyful,happy
childlike,happy
dark,dark
wistful,dark
solemn,dark
soft,soft
tender,soft
dreamy,soft
gentle,soft
delicate,soft
mellow,soft
quiet,quiet
fragile,quiet
thin,quiet
shy,quiet
calm,quiet
elegant,elegant
noble,elegant
sad,sad
slow,sad
anxious,anxious
tense,anxious
nervous,anxious
agitated,anxious
clumsy,clumsy
dirty,dirty
too_much_pedal,dirty
reverberant,dirty
fuzzy,dirty
blurry,dirty
sloppy,dirty
loud,loud
heavy,loud
aggressive,loud
bright,loud
sharp,loud
harsh,loud
metallic,loud
clanking,loud
